粤语,#genre#
粤语电影,http://159.75.85.63:35455/douyu/1226741
粤语电影2,http://159.75.85.63:35455/douyu/6566671
粤语电影3,http://159.75.85.63:35455/douyu/5033502
周星驰粤语,http://159.75.85.63:35455/huya/11336587
粤语电视剧,http://159.75.85.63:35455/douyu/10338873
粤语电视剧2,http://159.75.85.63:35455/douyu/6478650
粤语动画,http://159.75.85.63:35455/douyu/6462389
其他,#genre#
贝爷MAX厅,http://159.75.85.63:35455/douyu/4332
贝爷影厅,http://159.75.85.63:35455/douyu/252802
RM,http://159.75.85.63:35455/douyu/11954695
RM-点播,http://159.75.85.63:35455/douyu/131977
柯南,http://159.75.85.63:35455/douyu/11954507
欧美电影,http://159.75.85.63:35455/douyu/263824





